name,slug,category,probability_by_region
Dunlendings Healers,dunlendings_healers,Men,"[{""region"": ""Dunland"", ""probability"": 3}, {""region"": ""Fangorn"", ""probability"": 1}]"
Dunlendings Priests,dunlendings_priests,Men,"[{""region"": ""Dunland"", ""probability"": 3}]"
Dunlendings Warriors,dunlendings_warriors,Men,"[{""region"": ""Dunland"", ""probability"": 5}, {""region"": ""Fangorn"", ""probability"": 1}]"
Dunnish Site,dunnish_site,Sites,"[{""region"": ""Fornost"", ""probability"": 2}, {""region"": ""Lone-lands"", ""probability"": 3}, {""region"": ""Rammas Formen"", ""probability"": 1}, {""region"": ""Weather Hills"", ""probability"": 3}]"
Dwarf Merchant,dwarf_merchant,Commercial,"[{""region"": ""Ardolyalinya"", ""probability"": 4}, {""region"": ""Ardquetto"", ""probability"": 4}, {""region"": ""Ascahiriand"", ""probability"": 3}, {""region"": ""Celanoriand"", ""probability"": 4}, {""region"": ""Ered Luin"", ""probability"": 8}, {""region"": ""Ered Luin Vales"", ""probability"": 4}, {""region"": ""M\u00e4noriand"", ""probability"": 3}, {""region"": ""Ronalindon"", ""probability"": 3}, {""region"": ""Sandariand"", ""probability"": 3}, {""region"": ""South Harlindon"", ""probability"": 3}, {""region"": ""Tol Fuin"", ""probability"": 4}]"
Dwarf Prospector,dwarf_prospector,Commercial,"[{""region"": ""Celanoriand"", ""probability"": 4}, {""region"": ""Ered Luin"", ""probability"": 8}, {""region"": ""Ered Luin Vales"", ""probability"": 4}, {""region"": ""Tol Fuin"", ""probability"": 4}]"
Dwarves,dwarves,Non_mannish,"[{""region"": ""Andrast"", ""probability"": 1}, {""region"": ""Anfalas"", ""probability"": 1}, {""region"": ""Anorien"", ""probability"": 1}, {""region"": ""Bree"", ""probability"": 1}, {""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Coldfells"", ""probability"": 1}, {""region"": ""Dale"", ""probability"": 3}, {""region"": ""Dor Rhunen"", ""probability"": 1}, {""region"": ""Dorwinion"", ""probability"": 1}, {""region"": ""Druwaith Laur"", ""probability"": 1}, {""region"": ""Dunland"", ""probability"": 3}, {""region"": ""En Udanoriath"", ""probability"": 1}, {""region"": ""Enedhwaith"", ""probability"": 2}, {""region"": ""Eothraim"", ""probability"": 1}, {""region"": ""Eregion"", ""probability"": 2}, {""region"": ""Esgaroth"", ""probability"": 3}, {""region"": ""Ettenmoors"", ""probability"": 1}, {""region"": ""Gramuz"", ""probability"": 1}, {""region"": ""Hairavercien"", ""probability"": 1}, {""region"": ""Lebennin"", ""probability"": 1}, {""region"": ""Mintyrnath"", ""probability"": 1}, {""region"": ""Nan Anduin"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Old Forest"", ""probability"": 1}, {""region"": ""Parth Celebrant"", ""probability"": 1}, {""region"": ""Rast Vorn"", ""probability"": 1}, {""region"": ""Rivendell"", ""probability"": 1}, {""region"": ""Rohan"", ""probability"": 1}, {""region"": ""Ronen-in-Anduin"", ""probability"": 2}, {""region"": ""South Arthedain"", ""probability"": 4}, {""region"": ""South Downs"", ""probability"": 1}, {""region"": ""The Shire"", ""probability"": 1}, {""region"": ""Tower Hills"", ""probability"": 3}, {""region"": ""Westmarch"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 1}, {""region"": ""Wold"", ""probability"": 1}, {""region"": ""Woodland Realm"", ""probability"": 3}]"
Dyrians,dyrians,Men,"[{""region"": ""Dorwinion"", ""probability"": 1}, {""region"": ""Gramuz"", ""probability"": 1}]"
Eagle,eagle,Animal,"[{""region"": ""Dunland"", ""probability"": 3}, {""region"": ""Fangorn"", ""probability"": 3}, {""region"": ""Parth Celebrant"", ""probability"": 2}]"
Easterlings,easterlings,Men,"[{""region"": ""Angmar"", ""probability"": 2}, {""region"": ""Bree"", ""probability"": 3}, {""region"": ""Dor Rhunen"", ""probability"": 11}, {""region"": ""Dorwinion"", ""probability"": 4}, {""region"": ""Eothraim"", ""probability"": 11}, {""region"": ""Gramuz"", ""probability"": 4}, {""region"": ""Mintyrnath"", ""probability"": 1}, {""region"": ""Parth Celebrant"", ""probability"": 2}, {""region"": ""South Arthedain"", ""probability"": 1}, {""region"": ""South Downs"", ""probability"": 1}, {""region"": ""The Shire"", ""probability"": 3}, {""region"": ""Tower Hills"", ""probability"": 1}]"
Edain Ruin,edain_ruin,Sites,"[{""region"": ""Evendim Hills"", ""probability"": 3}, {""region"": ""Fornost"", ""probability"": 3}, {""region"": ""Lone-lands"", ""probability"": 2}, {""region"": ""Numeriador"", ""probability"": 3}, {""region"": ""Rammas Formen"", ""probability"": 1}, {""region"": ""Talath Muil"", ""probability"": 2}, {""region"": ""Weather Hills"", ""probability"": 2}]"
Egils Viper,egils_viper,Animal,"[{""region"": ""Dor Rhunen"", ""probability"": 3}, {""region"": ""Dorwinion"", ""probability"": 2}, {""region"": ""Eothraim"", ""probability"": 3}, {""region"": ""Gramuz"", ""probability"": 3}, {""region"": ""Mirkwood Wilds"", ""probability"": 2}, {""region"": ""Nan Anduin"", ""probability"": 3}, {""region"": ""Woodmen"", ""probability"": 2}]"
Elite Unit,elite_unit,Men,"[{""region"": ""Evendim Hills"", ""probability"": 1}, {""region"": ""Fornost"", ""probability"": 3}, {""region"": ""Forochel"", ""probability"": 1}, {""region"": ""Lone-lands"", ""probability"": 3}, {""region"": ""Numeriador"", ""probability"": 1}, {""region"": ""Rammas Formen"", ""probability"": 2}, {""region"": ""Talath Muil"", ""probability"": 1}, {""region"": ""Weather Hills"", ""probability"": 3}]"
Elk,elk,Animal,"[{""region"": ""Fornost"", ""probability"": 3}, {""region"": ""Forochel"", ""probability"": 2}, {""region"": ""Iron Hills"", ""probability"": 3}, {""region"": ""Lone-lands"", ""probability"": 1}, {""region"": ""Rammas Formen"", ""probability"": 2}, {""region"": ""Talath Muil"", ""probability"": 2}, {""region"": ""Talath Uichel"", ""probability"": 3}, {""region"": ""Weather Hills"", ""probability"": 1}]"
Elk Moose,elk_moose,Animal,"[{""region"": ""En Egladil"", ""probability"": 1}, {""region"": ""Trollshaws"", ""probability"": 4}, {""region"": ""West Rhudaur"", ""probability"": 1}]"
Elven Loremaster,elven_loremaster,Casual,"[{""region"": ""Apariach"", ""probability"": 10}, {""region"": ""Ardolyalinya"", ""probability"": 5}, {""region"": ""Ardquetto"", ""probability"": 6}, {""region"": ""Ascahiriand"", ""probability"": 3}, {""region"": ""Celanoriand"", ""probability"": 3}, {""region"": ""Ered Luin"", ""probability"": 6}, {""region"": ""Ered Luin Vales"", ""probability"": 3}, {""region"": ""Lairiardhon"", ""probability"": 4}, {""region"": ""Lildardhon"", ""probability"": 4}, {""region"": ""M\u00e4noriand"", ""probability"": 4}, {""region"": ""Ronalindon"", ""probability"": 3}, {""region"": ""Sandariand"", ""probability"": 5}, {""region"": ""South Harlindon"", ""probability"": 4}, {""region"": ""Tol Fuin"", ""probability"": 3}, {""region"": ""Vinyalas"", ""probability"": 4}]"
Elven Site,elven_site,Sites,"[{""region"": ""Evendim Hills"", ""probability"": 3}, {""region"": ""Fornost"", ""probability"": 1}, {""region"": ""Numeriador"", ""probability"": 3}, {""region"": ""Talath Muil"", ""probability"": 1}]"
Elven Wandering Company,elven_wandering_company,Men,"[{""region"": ""Apariach"", ""probability"": 8}, {""region"": ""Ardolyalinya"", ""probability"": 12}, {""region"": ""Ardquetto"", ""probability"": 12}, {""region"": ""Ascahiriand"", ""probability"": 13}, {""region"": ""Celanoriand"", ""probability"": 6}, {""region"": ""Ered Luin"", ""probability"": 12}, {""region"": ""Ered Luin Vales"", ""probability"": 6}, {""region"": ""Lairiardhon"", ""probability"": 11}, {""region"": ""Lildardhon"", ""probability"": 11}, {""region"": ""M\u00e4noriand"", ""probability"": 12}, {""region"": ""Ronalindon"", ""probability"": 13}, {""region"": ""Sandariand"", ""probability"": 14}, {""region"": ""South Harlindon"", ""probability"": 12}, {""region"": ""Tol Fuin"", ""probability"": 6}, {""region"": ""Vinyalas"", ""probability"": 11}]"
Elves,elves,Non_mannish,"[{""region"": ""Andrast"", ""probability"": 1}, {""region"": ""Anfalas"", ""probability"": 1}, {""region"": ""Anorien"", ""probability"": 3}, {""region"": ""Belegaer sea"", ""probability"": 1}, {""region"": ""Central Anduin"", ""probability"": 2}, {""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Coldfells"", ""probability"": 1}, {""region"": ""Dorwinion"", ""probability"": 2}, {""region"": ""Druwaith Laur"", ""probability"": 1}, {""region"": ""Dunland"", ""probability"": 1}, {""region"": ""En Udanoriath"", ""probability"": 1}, {""region"": ""Ettenmoors"", ""probability"": 1}, {""region"": ""Fangorn"", ""probability"": 2}, {""region"": ""Gramuz"", ""probability"": 1}, {""region"": ""Hairavercien"", ""probability"": 1}, {""region"": ""Lamedon"", ""probability"": 1}, {""region"": ""Lebennin"", ""probability"": 3}, {""region"": ""Mirkwood Wilds"", ""probability"": 3}, {""region"": ""Nan Anduin"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Parth Celebrant"", ""probability"": 1}, {""region"": ""Rivendell"", ""probability"": 1}, {""region"": ""Rohan"", ""probability"": 1}, {""region"": ""Ronen-in-Anduin"", ""probability"": 1}, {""region"": ""Tolfalas"", ""probability"": 1}, {""region"": ""Westmarch"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 1}, {""region"": ""Wold"", ""probability"": 1}, {""region"": ""Woodmen"", ""probability"": 1}]"
Elves Noldor,elves_noldor,Elves,"[{""region"": ""Eregion"", ""probability"": 1}, {""region"": ""Lorien"", ""probability"": 5}]"
Elves Silvan,elves_silvan,Elves,"[{""region"": ""Dale"", ""probability"": 25}, {""region"": ""Eregion"", ""probability"": 10}, {""region"": ""Esgaroth"", ""probability"": 25}, {""region"": ""Lorien"", ""probability"": 70}, {""region"": ""Woodland Realm"", ""probability"": 25}]"
Elves Sindar,elves_sindar,Elves,"[{""region"": ""Dale"", ""probability"": 10}, {""region"": ""Eregion"", ""probability"": 3}, {""region"": ""Esgaroth"", ""probability"": 10}, {""region"": ""Lorien"", ""probability"": 19}, {""region"": ""Woodland Realm"", ""probability"": 10}]"
Ents,ents,Non_mannish,"[{""region"": ""Druadan Forest"", ""probability"": 1}, {""region"": ""Dunland"", ""probability"": 1}, {""region"": ""Fangorn"", ""probability"": 15}, {""region"": ""Parth Celebrant"", ""probability"": 2}, {""region"": ""Rohan"", ""probability"": 1}]"
Eothraim,eothraim,Men,"[{""region"": ""Dor Rhunen"", ""probability"": 11}, {""region"": ""Dorwinion"", ""probability"": 2}, {""region"": ""Eothraim"", ""probability"": 11}, {""region"": ""Gramuz"", ""probability"": 3}]"
Eredrim,eredrim,Men,"[{""region"": ""Andrast"", ""probability"": 1}, {""region"": ""Anfalas"", ""probability"": 2}, {""region"": ""Dor-en-Emyl"", ""probability"": 1}, {""region"": ""Druwaith Laur"", ""probability"": 1}, {""region"": ""Lamedon"", ""probability"": 1}]"
Eriadorian Site,eriadorian_site,Sites,"[{""region"": ""Evendim Hills"", ""probability"": 6}, {""region"": ""Fornost"", ""probability"": 4}, {""region"": ""Forochel"", ""probability"": 1}, {""region"": ""Lone-lands"", ""probability"": 1}, {""region"": ""Numeriador"", ""probability"": 6}, {""region"": ""Rammas Formen"", ""probability"": 2}, {""region"": ""Talath Muil"", ""probability"": 2}, {""region"": ""Weather Hills"", ""probability"": 1}]"
Ernaithrach,ernaithrach,Animal,"[{""region"": ""Gramuz"", ""probability"": 3}]"
Eruption,eruption,Inanimate,"[{""region"": ""Mordor"", ""probability"": 11}]"
Estaravi,estaravi,Men,"[{""region"": ""Angmar"", ""probability"": 7}]"
Faerie,faerie,Men,"[{""region"": ""Bree"", ""probability"": 2}, {""region"": ""Old Forest"", ""probability"": 2}, {""region"": ""South Arthedain"", ""probability"": 2}, {""region"": ""The Shire"", ""probability"": 2}, {""region"": ""Tower Hills"", ""probability"": 4}]"
Falathrim Fisher Sailor,falathrim_fisher_sailor,Men,"[{""region"": ""Ardolyalinya"", ""probability"": 12}, {""region"": ""Ardquetto"", ""probability"": 10}, {""region"": ""Ascahiriand"", ""probability"": 10}, {""region"": ""M\u00e4noriand"", ""probability"": 11}, {""region"": ""Ronalindon"", ""probability"": 10}, {""region"": ""Sandariand"", ""probability"": 12}, {""region"": ""South Harlindon"", ""probability"": 11}]"
Falling Rocks,falling_rocks,Inanimate,"[{""region"": ""Angmar"", ""probability"": 1}, {""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 6}, {""region"": ""Coldfells"", ""probability"": 1}, {""region"": ""En Udanoriath"", ""probability"": 1}, {""region"": ""Ettenmoors"", ""probability"": 1}, {""region"": ""Forovirian"", ""probability"": 1}, {""region"": ""Moria"", ""probability"": 15}, {""region"": ""North Misty Mountains"", ""probability"": 5}, {""region"": ""Rivendell"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 1}]"
Farmer Woodsman,farmer_woodsman,Men,"[{""region"": ""Forithilien"", ""probability"": 11}, {""region"": ""Harithilien"", ""probability"": 9}, {""region"": ""Harondor"", ""probability"": 9}]"
Fell Beast,fell_beast,Animal,"[{""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 2}, {""region"": ""Dor Rhunen"", ""probability"": 1}, {""region"": ""Dorwinion"", ""probability"": 1}, {""region"": ""Eothraim"", ""probability"": 1}, {""region"": ""Gramuz"", ""probability"": 1}, {""region"": ""Nan Anduin"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 2}, {""region"": ""Nurn"", ""probability"": 35}, {""region"": ""Ronen-in-Anduin"", ""probability"": 1}]"
Fell Warg,fell_warg,Animal,"[{""region"": ""Forithilien"", ""probability"": 4}, {""region"": ""Harithilien"", ""probability"": 3}, {""region"": ""Harondor"", ""probability"": 3}]"
Fell Wolf,fell_wolf,Animal,"[{""region"": ""Celanoriand"", ""probability"": 5}, {""region"": ""Ered Luin"", ""probability"": 10}, {""region"": ""Ered Luin Vales"", ""probability"": 5}, {""region"": ""Tol Fuin"", ""probability"": 5}]"
Fell beasts of the Emyn Guldur,fell_beasts_of_the_emyn_guldur,Animal,"[{""region"": ""Dor Guldur"", ""probability"": 7}, {""region"": ""Mirkwood Wilds"", ""probability"": 3}]"
Fintonarki,fintonarki,Animal,"[{""region"": ""Dor Rhunen"", ""probability"": 3}, {""region"": ""Dorwinion"", ""probability"": 3}, {""region"": ""Eothraim"", ""probability"": 3}, {""region"": ""Gramuz"", ""probability"": 2}]"
Fire Drake,fire_drake,Non_mannish,"[{""region"": ""Forovirian"", ""probability"": 2}]"
Fish Eels,fish_eels,Animal,"[{""region"": ""Dagorlad"", ""probability"": 3}]"
Fish Large Fish,fish_large_fish,Animal,"[{""region"": ""Dagorlad"", ""probability"": 2}]"
Fish Medium Fish,fish_medium_fish,Animal,"[{""region"": ""Dagorlad"", ""probability"": 4}]"
Fisherman River Folk,fisherman_river_folk,Men,"[{""region"": ""Forithilien"", ""probability"": 5}, {""region"": ""Harithilien"", ""probability"": 6}, {""region"": ""Harondor"", ""probability"": 6}]"
Fishing Cats,fishing_cats,Animal,"[{""region"": ""Dorwinion"", ""probability"": 5}]"
Flames,flames,Inanimate,"[{""region"": ""Mordor"", ""probability"": 11}]"
Flash Flood,flash_flood,Inanimate,"[{""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 2}, {""region"": ""Dunland"", ""probability"": 3}, {""region"": ""Fangorn"", ""probability"": 2}, {""region"": ""North Misty Mountains"", ""probability"": 2}, {""region"": ""Parth Celebrant"", ""probability"": 2}, {""region"": ""Rohan"", ""probability"": 2}, {""region"": ""Ronen-in-Anduin"", ""probability"": 2}, {""region"": ""Westmarch"", ""probability"": 1}]"
Flying Bats,flying_bats,Animal,"[{""region"": ""Dagorlad"", ""probability"": 2}]"
Flying Birds of Prey,flying_birds_of_prey,Animal,"[{""region"": ""Dagorlad"", ""probability"": 2}]"
Flying Hummerhorns,flying_hummerhorns,Animal,"[{""region"": ""Dagorlad"", ""probability"": 1}]"
Flying Insects Swarm,flying_insects_swarm,Animal,"[{""region"": ""Dagorlad"", ""probability"": 4}]"
Flying Other Flying Creatures,flying_other_flying_creatures,Animal,"[{""region"": ""Dagorlad"", ""probability"": 2}]"
Flying Swimming Fishing Birds,flying_swimming_fishing_birds,Animal,"[{""region"": ""Dagorlad"", ""probability"": 7}]"
Flying Wading Birds,flying_wading_birds,Animal,"[{""region"": ""Dagorlad"", ""probability"": 4}]"
Foreigners,foreigners,Men,"[{""region"": ""Central Anduin"", ""probability"": 3}, {""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Coldfells"", ""probability"": 3}, {""region"": ""En Udanoriath"", ""probability"": 3}, {""region"": ""Ettenmoors"", ""probability"": 3}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Rivendell"", ""probability"": 3}, {""region"": ""Wilderness of Arnor"", ""probability"": 3}]"
Forest trolls,forest_trolls,Non_mannish,"[{""region"": ""Evendim Hills"", ""probability"": 1}, {""region"": ""Fornost"", ""probability"": 1}, {""region"": ""Forochel"", ""probability"": 1}, {""region"": ""Lone-lands"", ""probability"": 1}, {""region"": ""Numeriador"", ""probability"": 1}, {""region"": ""Rammas Formen"", ""probability"": 2}, {""region"": ""Talath Muil"", ""probability"": 1}, {""region"": ""Weather Hills"", ""probability"": 1}]"
G Vampire Bat N,g_vampire_bat_n,Animal,"[{""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Coldfells"", ""probability"": 1}, {""region"": ""En Udanoriath"", ""probability"": 1}, {""region"": ""Ettenmoors"", ""probability"": 1}, {""region"": ""Moria"", ""probability"": 3}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Rivendell"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 1}]"
Garth,garth,Sites,"[{""region"": ""Angmar"", ""probability"": 3}]"
General Folk 1,general_folk_1,Men,"[{""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Coldfells"", ""probability"": 1}, {""region"": ""En Udanoriath"", ""probability"": 1}, {""region"": ""Ettenmoors"", ""probability"": 1}, {""region"": ""Moria"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Rivendell"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 1}]"
General Trap,general_trap,Inanimate,"[{""region"": ""Angmar"", ""probability"": 5}, {""region"": ""Central Anduin"", ""probability"": 3}, {""region"": ""Central Misty Mountains"", ""probability"": 5}, {""region"": ""Coldfells"", ""probability"": 2}, {""region"": ""Dale"", ""probability"": 2}, {""region"": ""Dor Guldur"", ""probability"": 5}, {""region"": ""Druadan Forest"", ""probability"": 8}, {""region"": ""Dunland"", ""probability"": 1}, {""region"": ""En Udanoriath"", ""probability"": 2}, {""region"": ""Esgaroth"", ""probability"": 2}, {""region"": ""Ettenmoors"", ""probability"": 2}, {""region"": ""Fangorn"", ""probability"": 1}, {""region"": ""Mirkwood Wilds"", ""probability"": 3}, {""region"": ""Mordor"", ""probability"": 5}, {""region"": ""Moria"", ""probability"": 5}, {""region"": ""Nan Anduin"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Parth Celebrant"", ""probability"": 2}, {""region"": ""Rivendell"", ""probability"": 2}, {""region"": ""Rohan"", ""probability"": 1}, {""region"": ""Ronen-in-Anduin"", ""probability"": 1}, {""region"": ""Talath Uichel"", ""probability"": 1}, {""region"": ""Westmarch"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 2}, {""region"": ""Wold"", ""probability"": 1}, {""region"": ""Woodland Realm"", ""probability"": 2}, {""region"": ""Woodmen"", ""probability"": 2}]"
Ghost,ghost,Non_mannish,"[{""region"": ""Iron Hills"", ""probability"": 1}, {""region"": ""Mordor"", ""probability"": 98}, {""region"": ""Nurn"", ""probability"": 13}, {""region"": ""Talath Uichel"", ""probability"": 1}]"
Ghoul,ghoul,Non_mannish,"[{""region"": ""Nurn"", ""probability"": 35}]"
Giant Marten,giant_marten,Animal,"[{""region"": ""Dorwinion"", ""probability"": 5}, {""region"": ""Druadan Forest"", ""probability"": 1}, {""region"": ""Gramuz"", ""probability"": 4}, {""region"": ""Rohan"", ""probability"": 1}, {""region"": ""Westmarch"", ""probability"": 1}, {""region"": ""Wold"", ""probability"": 1}]"
Giant Spiders,giant_spiders,Animal,"[{""region"": ""Dale"", ""probability"": 20}, {""region"": ""Dor Guldur"", ""probability"": 15}, {""region"": ""Esgaroth"", ""probability"": 20}, {""region"": ""Iron Hills"", ""probability"": 1}, {""region"": ""Mirkwood Wilds"", ""probability"": 30}, {""region"": ""Woodland Realm"", ""probability"": 20}, {""region"": ""Woodmen"", ""probability"": 5}]"
Giant Vampire Bat,giant_vampire_bat,Animal,"[{""region"": ""Angmar"", ""probability"": 1}]"
Giant Vampire Bat N,giant_vampire_bat_n,Animal,"[{""region"": ""Forovirian"", ""probability"": 1}]"
Giant Vampire Bats N,giant_vampire_bats_n,Animal,"[{""region"": ""Iron Hills"", ""probability"": 1}, {""region"": ""Talath Uichel"", ""probability"": 1}]"
Giants,giants,Non_mannish,"[{""region"": ""Central Misty Mountains"", ""probability"": 2}, {""region"": ""Dunland"", ""probability"": 1}, {""region"": ""Forovirian"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 2}, {""region"": ""Ronen-in-Anduin"", ""probability"": 1}]"
Glacier,glacier,Inanimate,"[{""region"": ""Talath Uichel"", ""probability"": 1}]"
Glutan,glutan,Animal,"[{""region"": ""Dunland"", ""probability"": 2}, {""region"": ""Enedhwaith"", ""probability"": 1}, {""region"": ""Minhiriath"", ""probability"": 5}, {""region"": ""Rast Vorn"", ""probability"": 3}]"
Glutani,glutani,Animal,"[{""region"": ""Bree"", ""probability"": 4}, {""region"": ""Dorwinion"", ""probability"": 4}, {""region"": ""Gramuz"", ""probability"": 2}, {""region"": ""Old Forest"", ""probability"": 1}, {""region"": ""South Arthedain"", ""probability"": 1}, {""region"": ""The Shire"", ""probability"": 4}, {""region"": ""Tower Hills"", ""probability"": 1}]"
Goat Mtn Sheep,goat_mtn_sheep,Animal,"[{""region"": ""Central Anduin"", ""probability"": 3}, {""region"": ""Central Misty Mountains"", ""probability"": 6}, {""region"": ""Coldfells"", ""probability"": 3}, {""region"": ""En Udanoriath"", ""probability"": 3}, {""region"": ""Ettenmoors"", ""probability"": 3}, {""region"": ""North Misty Mountains"", ""probability"": 6}, {""region"": ""Rivendell"", ""probability"": 3}, {""region"": ""Wilderness of Arnor"", ""probability"": 3}]"
Goats,goats,Animal,"[{""region"": ""Andrast"", ""probability"": 2}, {""region"": ""Anfalas"", ""probability"": 2}, {""region"": ""Anorien"", ""probability"": 1}, {""region"": ""Belegaer sea"", ""probability"": 1}, {""region"": ""Dor-en-Emyl"", ""probability"": 2}, {""region"": ""Druwaith Laur"", ""probability"": 3}, {""region"": ""Hairavercien"", ""probability"": 2}, {""region"": ""Lamedon"", ""probability"": 2}, {""region"": ""Lebennin"", ""probability"": 1}, {""region"": ""Tolfalas"", ""probability"": 1}]"
Golden Eagle,golden_eagle,Animal,"[{""region"": ""Angmar"", ""probability"": 1}, {""region"": ""Apariach"", ""probability"": 4}, {""region"": ""Celanoriand"", ""probability"": 4}, {""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 4}, {""region"": ""Coldfells"", ""probability"": 2}, {""region"": ""En Udanoriath"", ""probability"": 2}, {""region"": ""Ered Luin"", ""probability"": 8}, {""region"": ""Ered Luin Vales"", ""probability"": 4}, {""region"": ""Ettenmoors"", ""probability"": 2}, {""region"": ""Forovirian"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 3}, {""region"": ""Rivendell"", ""probability"": 2}, {""region"": ""Tol Fuin"", ""probability"": 4}, {""region"": ""Wilderness of Arnor"", ""probability"": 2}]"
Gondor Garrison Patrol,gondor_garrison_patrol,Men,"[{""region"": ""Harithilien"", ""probability"": 7}, {""region"": ""Harondor"", ""probability"": 7}]"
Gondor Ranger Patrol,gondor_ranger_patrol,Men,"[{""region"": ""Forithilien"", ""probability"": 10}, {""region"": ""Harithilien"", ""probability"": 10}, {""region"": ""Harondor"", ""probability"": 10}]"
Gorcrows,gorcrows,Animal,"[{""region"": ""Dor Rhunen"", ""probability"": 3}, {""region"": ""Dorwinion"", ""probability"": 4}, {""region"": ""Eothraim"", ""probability"": 3}, {""region"": ""Evendim Hills"", ""probability"": 1}, {""region"": ""Fornost"", ""probability"": 2}, {""region"": ""Forochel"", ""probability"": 1}, {""region"": ""Gramuz"", ""probability"": 3}, {""region"": ""Lone-lands"", ""probability"": 3}, {""region"": ""Numeriador"", ""probability"": 1}, {""region"": ""Rammas Formen"", ""probability"": 4}, {""region"": ""Talath Muil"", ""probability"": 2}, {""region"": ""Weather Hills"", ""probability"": 3}]"
Grass Cat,grass_cat,Animal,"[{""region"": ""Fangorn"", ""probability"": 2}, {""region"": ""Parth Celebrant"", ""probability"": 3}]"
Grass Fire,grass_fire,Inanimate,"[{""region"": ""Dunland"", ""probability"": 1}, {""region"": ""Fangorn"", ""probability"": 1}, {""region"": ""Nan Anduin"", ""probability"": 1}, {""region"": ""Parth Celebrant"", ""probability"": 3}, {""region"": ""Rohan"", ""probability"": 3}, {""region"": ""Westmarch"", ""probability"": 2}, {""region"": ""Wold"", ""probability"": 1}]"
Grave Site Tomb,grave_site_tomb,Sites,"[{""region"": ""Dunland"", ""probability"": 2}, {""region"": ""Fangorn"", ""probability"": 1}, {""region"": ""Parth Celebrant"", ""probability"": 2}]"
Grazing Animals,grazing_animals,Animal,"[{""region"": ""Bree"", ""probability"": 2}, {""region"": ""Old Forest"", ""probability"": 5}, {""region"": ""South Arthedain"", ""probability"": 3}, {""region"": ""The Shire"", ""probability"": 2}, {""region"": ""Tower Hills"", ""probability"": 4}, {""region"": ""Wilderness of Arnor"", ""probability"": 10}]"
Great Bear,great_bear,Animal,"[{""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Coldfells"", ""probability"": 1}, {""region"": ""En Udanoriath"", ""probability"": 1}, {""region"": ""Ettenmoors"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Rivendell"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 1}]"
Great Bird,great_bird,Animal,"[{""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 2}, {""region"": ""Druadan Forest"", ""probability"": 1}, {""region"": ""Nan Anduin"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 2}, {""region"": ""Rohan"", ""probability"": 2}, {""region"": ""Ronen-in-Anduin"", ""probability"": 1}, {""region"": ""Westmarch"", ""probability"": 2}, {""region"": ""Wold"", ""probability"": 1}]"
